korean,english,chapter,chapterName
성명,full name,1,Introduction
국적,nationality,1,Introduction
생년월일,date of birth,1,Introduction
성별,gender,1,Introduction
연락처,contact information,1,Introduction
이메일,email,1,Introduction
목적,purpose,1,Introduction
입학하다,to be admitted to school,1,Introduction
취직하다,to get a job,1,Introduction
사업하다,to do business,1,Introduction
취미,hobby,1,Introduction
부르다,to call,1,Introduction
한국학,Korean Studies,1,Introduction
동쪽,east,1,Introduction
서쪽,west,1,Introduction
남쪽,south,1,Introduction
북쪽,north,1,Introduction
강,river,1,Introduction
호수,lake,1,Introduction
도시,city,1,Introduction
시골,countryside,1,Introduction
섬,island,1,Introduction
아주,very,1,Introduction
별로,not many / much,1,Introduction
전혀,not at all,1,Introduction
벚꽃,cherry blossom(s),1,Introduction
남이섬,Namiseom Island,1,Introduction
소개하다,to introduce,1,Introduction
파리,Paris,1,Introduction
에펠 탑,Eiffel Tower,1,Introduction
위치,location,1,Introduction
방법,way,1,Introduction
동물,animal,1,Introduction
에 대해서,about,1,Introduction
독서,reading,2,Hobby
영화 감상,watching movies,2,Hobby
음악 감상,listening to music,2,Hobby
낚시,fishing,2,Hobby
조깅,jogging,2,Hobby
스쿠버 다이빙,scuba diving,2,Hobby
웹툰을 보다,to read webcomics,2,Hobby
인형을 모으다,to collect dolls,2,Hobby
인터넷 쇼핑을 하다,to do online shopping,2,Hobby
동영상을 만들다,to create videos,2,Hobby
에스엔에스(SNS)를 하다,to do social media,2,Hobby
시간이 나다,to have free time,2,Hobby
다음,next time,2,Hobby
컵,cup,2,Hobby
동호회,club,2,Hobby
회원,member,2,Hobby
모집하다,to recruit,2,Hobby
신청하다,to apply,2,Hobby
가입하다,to join,2,Hobby
모임을 하다,to have a gathering,2,Hobby
회비를 내다,to pay membership fees,2,Hobby
매일,every day,2,Hobby
매주,every week,2,Hobby
매달,every month,2,Hobby
매년,every year,2,Hobby
볼링,bowling,2,Hobby
연락하다,to contact,2,Hobby
