korean,english,chapter,chapterName
설명하다,to explain,10,School Life
이해하다,to understand,10,School Life
질문하다,to ask a question,10,School Life
대답하다,to answer,10,School Life
외우다,to memorize,10,School Life
발표하다,to present,10,School Life
잊어버리다,to forget,10,School Life
맞다,to be correct,10,School Life
틀리다,to be incorrect,10,School Life
말하기,speaking,10,School Life
듣기,listening,10,School Life
읽기,reading,10,School Life
쓰기,writing,10,School Life
별일 없다,to have nothing special,10,School Life
스트레스를 풀다,to relieve stress,10,School Life
스트레스가 풀리다,to be relieved of stress,10,School Life
소리,sound,10,School Life
피시방,Internet Cafe,10,School Life
인천,Incheon,10,School Life
지난번,last time,10,School Life
문법,grammar,10,School Life
고민하다,to worry,10,School Life
학교생활,school life,10,School Life
이번,this time,10,School Life
문장,sentence,10,School Life
이메일을 쓰다,to write an email,10,School Life
이메일을 확인하다,to check an email,10,School Life
답장을 보내다,to send a reply,10,School Life
이메일을 지우다,to delete an email,10,School Life
등록하다,to register,10,School Life
교과서를 사다,to buy a textbook,10,School Life
학생증을 받다,to receive one’s student ID,10,School Life
상을 받다,to receive an award,10,School Life
장학금을 받다,to receive a scholarship,10,School Life
수료하다,to complete,10,School Life
학기,semester,10,School Life
등록금,tuition,10,School Life
답변,answer,10,School Life
지원하다,to apply,10,School Life
방문,visit,10,School Life
접수를 받다,to receive an application,10,School Life
후,after,10,School Life
등,et cetera,10,School Life
무료,free,10,School Life
서울대학교 언어교육원,LEI,10,School Life
궁금하다,to be curious,10,School Life
유학,study abroad,10,School Life
채식,vegetarian diet,10,School Life
반말,informal speech,10,School Life
사용하다,to use,10,School Life
높임말,honorific,10,School Life
밥,rice / meal,11,Food
볶음밥,fried rice,11,Food
국수,noodles,11,Food
라면,ramen,11,Food
칼국수                                                                     (,knife-cut noodles,11,Food
찌개,stew,11,Food
순두부찌개,soft tofu stew,11,Food
된장찌개,soybean paste stew,11,Food
고기,meat,11,Food
치킨,chicken,11,Food
갈비,short ribs,11,Food
탕,soup,11,Food
감자탕,pork back-bone soup,11,Food
삼계탕,ginseng chicken soup,11,Food
달다,to be sweet,11,Food
쓰다,to be bitter,11,Food
짜다,to be salty,11,Food
시다,to be sour,11,Food
홍대,Hongik University / Hongdae,11,Food
종류,kind(s),11,Food
시키다,to order,11,Food
비빔국수,spicy mixed noodles,11,Food
인삼차,ginseng tea,11,Food
레몬차,lemon tea,11,Food
